term,courseCode,courseName,totalQuestions,timeLimitSeconds,marks,mode,questionIds
1-1,CSE 101,Structured Programming Language,1,30,1,MANUAL,1-1-CSE101-Q2
1-1,CSE 101,Structured Programming Language,1,30,1,MANUAL,1-1-CSE101-Q2
1-1,CSE 101,Structured Programming Language,10,300,10,AUTO,1-1-CSE101-Q18;1-1-CSE101-Q26;1-1-CSE101-Q28;1-1-CSE101-Q45;1-1-CSE101-Q20;1-1-CSE101-Q27;1-1-CSE101-Q9;1-1-CSE101-Q11;1-1-CSE101-Q32;1-1-CSE101-Q25
2-1,CSE 205,Digital Logic Design,10,1200,100,AUTO,2-1-CSE205-Q1;2-1-CSE205-Q2;2-1-CSE205-Q3;2-1-CSE205-Q4;2-1-CSE205-Q5;2-1-CSE205-Q6;2-1-CSE205-Q7;2-1-CSE205-Q8;2-1-CSE205-Q9;2-1-CSE205-Q10
3-1,CSE 309,Compiler,10,1200,150,AUTO,3-1-CSE309-Q1;3-1-CSE309-Q2;3-1-CSE309-Q3;3-1-CSE309-Q4;3-1-CSE309-Q5;3-1-CSE309-Q6;3-1-CSE309-Q7;3-1-CSE309-Q8;3-1-CSE309-Q9;3-1-CSE309-Q10
3-1,CSE 309,Compiler,10,1200,150,AUTO,3-1-CSE309-Q1;3-1-CSE309-Q2;3-1-CSE309-Q3;3-1-CSE309-Q4;3-1-CSE309-Q5;3-1-CSE309-Q6;3-1-CSE309-Q7;3-1-CSE309-Q8;3-1-CSE309-Q9;3-1-CSE309-Q10
2-1,CSE 205,Digital Logic Design,10,1200,100,AUTO,2-1-CSE205-Q1;2-1-CSE205-Q2;2-1-CSE205-Q3;2-1-CSE205-Q4;2-1-CSE205-Q5;2-1-CSE205-Q6;2-1-CSE205-Q7;2-1-CSE205-Q8;2-1-CSE205-Q9;2-1-CSE205-Q10
1-2,CSE 105,Data Structures and Algorithms I,10,1200,50,AUTO,1-2-CSE105-Q1;1-2-CSE105-Q2;1-2-CSE105-Q3;1-2-CSE105-Q4;1-2-CSE105-Q5;1-2-CSE105-Q6;1-2-CSE105-Q7;1-2-CSE105-Q8;1-2-CSE105-Q9;1-2-CSE105-Q10
2-2,CSE 213,Software Engineering,10,1200,100,AUTO,2-2-CSE213-Q1;2-2-CSE213-Q2;2-2-CSE213-Q3;2-2-CSE213-Q4;2-2-CSE213-Q5;2-2-CSE213-Q6;2-2-CSE213-Q7;2-2-CSE213-Q8;2-2-CSE213-Q9;2-2-CSE213-Q10
2-1,CSE 207,Data Structures and Algorithms II,10,1200,100,AUTO,2-1-CSE207-Q1;2-1-CSE207-Q2;2-1-CSE207-Q3;2-1-CSE207-Q4;2-1-CSE207-Q5;2-1-CSE207-Q6;2-1-CSE207-Q7;2-1-CSE207-Q8;2-1-CSE207-Q9;2-1-CSE207-Q10
1-1,CSE 101,Structured Programming Language,10,1200,50,AUTO,1-1-CSE101-Q1;1-1-CSE101-Q2;1-1-CSE101-Q3;1-1-CSE101-Q4;1-1-CSE101-Q5;1-1-CSE101-Q6;1-1-CSE101-Q7;1-1-CSE101-Q8;1-1-CSE101-Q9;1-1-CSE101-Q10
